DEPTH,CLUSTER_LABEL,CLUSTER_0_PROB,CLUSTER_1_PROB,CLUSTER_2_PROB,CLUSTER_3_PROB,CLUSTER_4_PROB
2192.20966,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.23506,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.26046,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.28586,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.31126,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.33666,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.36206,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.38746,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.41286,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.43826,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.46366,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.48906,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.51446,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.53986,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.56526,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.59066,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.61606,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.64146,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.66686,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.69226,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.71766,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.74306,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.76846,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.79386,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.81926,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.84466,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.87006,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.89546,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.92086,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.94626,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.97166,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2192.99706,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2193.02246,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2193.04786,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2193.07326,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2193.09866,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
2193.12406,0,0.014794702557441879,0.9773569952467664,0.0,2.0015370544184445e-05,0.007828286825247803
